Monomer name	SMILES
Methyl methacrylate	COC(=O)C(=C)C
Ethyl methacrylate	CCOC(=O)C(=C)C
n-Propyl methacrylate	 CCCOC(=O)C(=C)C
n-Butyl methacrylate	CCCCOC(=O)C(=C)C
n-Pentyl methacrylate	CCCCCOC(=O)C(=C)C
n-Hexyl methacrylate	CCCCCCOC(=O)C(=C)C
n-Heptyl methacrylate	CCCCCCCOC(=O)C(=C)C
n-Octyl methacrylate	CCCCCCCCOC(=O)C(=C)C
n-Nonyl methacrylate	CCCCCCCCCOC(=O)C(=C)C
n-Decyl methacrylate	CCCCCCCCCCOC(=O)C(=C)C
n-Undecyl methacrylate	CCCCCCCCCCCOC(=O)C(=C)C
n-Dodecyl methacrylate	CCCCCCCCCCCCOC(=O)C(=C)C
